1,省级,26
2,吉林建筑科技学院,14
3,吉林省,14
4,教育,10
5,专业,7
6,创新,7
7,示范,7
8,大学生,7
9,高校,7
10,培养,6
11,教学,6
12,实践,6
13,基地,6
14,大学,6
15,学院,5
16,专家,5
17,优秀,5
18,一流,5
19,项目,5
20,课程,5
21,获得,5
22,坚持,5
23,办学,5
24,建设,4
25,单位,4
26,创业,4
27,改革,4
28,国家级,4
29,合作,4
30,应用型,4
31,人才,4
32,国家教育部,3
33,批准,3
34,本科,3
35,11,3
36,管理,3
37,学科,3
38,其中,3
39,教师,3
40,拥有,3
41,20,3
42,特色,3
43,育人,3
44,思想,3
45,政治,3
46,工作,3
47,称号,3
48,毕业生,3
49,社会,3
50,为主,2
51,硕士,2
52,研究生,2
53,普通,2
54,高等学校,2
55,在校学生,2
56,2000,2
57,立项,2
58,2019,2
59,长春市,2
60,校园,2
61,总值,2
62,亿元,2
63,纸质,2
64,具有,2
65,高级,2
66,技术,2
67,学术,2
68,名师,2
69,各类,2
70,学者,2
71,人才培养,2
72,实验教学,2
73,中心,2
74,校外,2
75,研究,2
76,开放,2
77,校企,2
78,校内,2
79,教研,2
80,余篇,2
81,高水平,2
82,社会主义,2
83,方向,2
84,党组织,2
85,落实,2
86,立德,2
87,根本任务,2
88,先进,2
89,就业,2
90,组织,2
91,全国,2
92,多项,2
93,州立大学,2
94,质量,2
95,学生,2
96,大赛,2
97,赢得,2
98,一所,1
99,设置,1
100,兼有,1
101,联合,1
102,面向全国,1
103,招生,1
104,民办,1
105,全日制,1
106,规模,1
107,000,1
108,始建,1
109,曾用名,1
110,吉林建筑大学城建学院,1
111,2017,1
112,硕士学位,1
113,年经,1
114,更名,1
115,坐落于,1
116,占地,1
117,总面积,1
118,80,1
119,教学楼,1
120,实验楼,1
121,图书馆,1
122,体育馆,1
123,游泳馆,1
124,文化,1
125,活动中心,1
126,实训,1
127,场馆,1
128,标准化,1
129,公寓,1
130,建筑面积,1
131,45,1
132,教学科研,1
133,仪器设备,1
134,1.08,1
135,馆藏,1
136,文献,1
137,总量,1
138,87,1
139,万册,1
140,电子图书,1
141,70,1
142,万种,1
143,中外文,1
144,期刊,1
145,175,1
146,固定资产,1
147,科学研究,1
148,条件,1
149,充沛,1
150,设有,1
151,建筑,1
152,规划,1
153,土木工程,1
154,数字,1
155,建造,1
156,工程学院,1
157,艺术设计,1
158,外语学院,1
159,12,1
160,开设,1
161,本科专业,1
162,41,1
163,分布,1
164,四大,1
165,门类,1
166,现有,1
167,专任教师,1
168,600,1
169,多人,1
170,职务,1
171,46%,1
172,博士,1
173,学历,1
174,76%,1
175,享受,1
176,国务院,1
177,政府,1
178,特殊津贴,1
179,突出贡献,1
180,中青年,1
181,跨世纪,1
182,带头人,1
183,优秀教师,1
184,高层次,1
185,余名,1
186,团队,1
187,品牌,1
188,十二五,1
189,卓越,1
190,工程师,1
191,教育培养,1
192,计划,1
193,试点,1
194,模式,1
195,实验区,1
196,双师,1
197,双能,1
198,培训基地,1
199,高等教育,1
200,工作室,1
201,虚拟,1
202,仿真,1
203,金课,1
204,精品,1
205,在线,1
206,精品课程,1
207,29,1
208,合作开发,1
209,建有,1
210,产学研,1
211,一体化,1
212,平台,1
213,工程,1
214,重点,1
215,人文,1
216,社科,1
217,大众,1
218,万众,1
219,实验室,1
220,137,1
221,105,1
222,近年来,1
223,产学,1
224,协同,1
225,17,1
226,综合,1
227,280,1
228,成果奖,1
229,教材,1
230,三等奖,1
231,承担,1
232,各级,1
233,科研课题,1
234,419,1
235,课题,1
236,授权,1
237,专利,1
238,228,1
239,省部级,1
240,以上,1
241,科技奖,1
242,余项,1
243,发表,1
244,学术论文,1
245,SCI,1
246,EI,1
247,论文,1
248,200,1
249,充分发挥,1
250,战斗,1
251,堡垒作用,1
252,党建,1
253,成效,1
254,突出,1
255,基层,1
256,管理工作,1
257,创新奖,1
258,活动,1
259,艺术,1
260,展演,1
261,取得,1
262,评估,1
263,等级,1
264,英国,1
265,德蒙,1
266,福特,1
267,博尔顿,1
268,赛德,1
269,美国,1
270,中央,1
271,华盛顿大学,1
272,波特兰,1
273,堪萨斯,1
274,爱尔兰,1
275,卡洛,1
276,理工学院,1
277,韩国,1
278,水原,1
279,泰国,1
280,格乐,1
281,意大利,1
282,福贾,1
283,美术学院,1
284,十多所,1
285,国外,1
286,知名,1
287,院校,1
288,建立,1
289,校际,1
290,学术交流,1
291,关系,1
292,互派,1
293,进行,1
294,交流,1
295,开展,1
296,科研,1
297,秉承,1
298,为本,1
299,德育,1
300,为先,1
301,立校,1
302,强校,1
303,兴校,1
304,理念,1
305,设施,1
306,服务,1
307,目标,1
308,致力,1
309,面向,1
310,城乡建设,1
311,运行,1
312,领域,1
313,强化,1
314,能力,1
315,职业,1
316,素质,1
317,适应,1
318,生产,1
319,一线,1
320,专业技能,1
321,扎实,1
322,善于,1
323,教学质量,1
324,持续,1
325,提升,1
326,数学,1
327,建模,1
328,英语,1
329,电子设计,1
330,结构设计,1
331,BIM,1
332,毕业设计,1
333,挑战杯,1
334,互联网,1
335,课外,1
336,科技,1
337,作品,1
338,竞赛,1
339,大奖,1
340,金奖,1
341,银奖,1
342,就业率,1
343,一直,1
344,位居,1
345,省内,1
346,前列,1
347,国家,1
348,地方,1
349,经济,1
350,输送,1
351,万余名,1
352,社会各界,1
353,广泛,1
354,好评,1
355,赞誉,1
356,以来,1
357,转型,1
358,发展,1
359,5A,1
360,文明,1
361,全面,1
362,领导,1
363,围绕,1
364,谋发展,1
365,脚踏实地,1
366,人民满意,1
367,创建,1
368,百年,1
369,民办大学,1
370,不懈努力,1
